"IdVenta";"Metier";"Puerto.venta";"Trimestre";"Especie.comercial.Gen";"Especie.comercial";"Especie.comercial.ALFA3";"Especie.muestreada";"Especie.muestreada.ALFA3";"Peso";"TripSamp"
530820;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";10321;1
530823;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";16139;1
530825;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";4045;1
530842;"PS_SPF_0_0_0";"Pasaia";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";17200;1
530843;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";14023;1
530846;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";12103;1
530854;"PS_SPF_0_0_0";"Pasaia";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";15600;1
530855;"PS_SPF_0_0_0";"Pasaia";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";10300;1
530864;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";9531;1
530865;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";2927;1
530883;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Fanecas spp";"Faneca comun";"BIB";"Faneca comun";"BIB";146,96;1
530883;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Fanecas spp";"Faneca comun";"GAD";"Faneca comun";"BIB";646,8;1
530883;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Fanecas spp";"Faneca comun";"GAD";"Faneca menor - Fodon - Capellan";"POD";1,541188973;1
530883;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Fanecas spp";"Fanecas spp";"GAD";"Faneca comun";"BIB";377,74;1
530883;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Gallos - ollarra";"Gallos - ollarra";"LEZ";"Gallo boscii";"LDB";2,666094895;1
530883;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Gallos - ollarra";"Gallos - ollarra";"LEZ";"Gallo whiffiagonis";"MEG";3101,772;1
530883;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Lenguado";"Lenguado";"SOL";"Lenguado";"SOL";13,729569578;1
530883;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Lubina";"Lubina";"BSS";"Lubina";"BSS";83,825685483;1
530883;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Merluza europea";"Merluza europea";"HKE";"Merluza europea";"HKE";80,72767473;1
